Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"EDITIONS DU SIGNE";FR0000052755;MLEDS;"Euronext Access Paris";EUR;0.20;0.20;0.20;0.20;"25/03/2024 11:30";CET;15235;3047.00;0.20;08/04/2024
"EDUFORM ACTION";FR0010882886;MLEFA;"Euronext Access Paris";EUR;0.67;0.67;0.67;0.67;"05/04/2024 16:30";CET;3000;2010.00;0.67;08/04/2024
EDUNIVERSAL;FR0010439265;MLEDU;"Euronext Access Paris";EUR;0.20;0.20;0.20;0.20;"12/03/2024 12:31";CET;11137;2227.40;0.20;08/04/2024
EGIDE;FR0000072373;ALGID;"Euronext Growth Paris";EUR;0.61;0.622;0.602;0.608;"08/04/2024 17:35";CET;22122;13451.138;0.608;08/04/2024
EIFFAGE;FR0000130452;FGR;"Euronext Paris";EUR;99.82;101.15;99.58;100.75;"08/04/2024 17:35";CET;155220;15602906.40;100.75;08/04/2024
EKINOPS;FR0011466069;EKI;"Euronext Paris";EUR;3.73;3.86;3.72;3.815;"08/04/2024 17:35";CET;93991;354446.48;3.815;08/04/2024
ELEC.STRASBOURG;FR0000031023;ELEC;"Euronext Paris";EUR;114.00;116.00;114.00;116.00;"08/04/2024 16:56";CET;395;45129.00;116.00;08/04/2024
"ELECT. MADAGASCAR";FR0000035719;EEM;"Euronext Paris";EUR;3.32;3.32;3.32;3.32;"08/04/2024 11:30";CET;25;83.00;3.32;08/04/2024
"ELIOR GROUP";FR0011950732;ELIOR;"Euronext Paris";EUR;2.42;2.428;2.342;2.342;"08/04/2024 17:35";CET;786814;1864329.77;2.342;08/04/2024
ELIS;FR0012435121;ELIS;"Euronext Paris";EUR;21.00;21.30;20.98;21.24;"08/04/2024 17:38";CET;176346;3740099.52;21.24;08/04/2024
ELIX;ES0105726006;MLERH;"Euronext Access Paris";EUR;-;-;-;-;-;CET;-;-;20.00;08/04/2024
